date,nombre_tweets_par_jour,nombre_mentions_engie,nombre_tweets_critiques,auteurs_uniques,%_tweets_critiques,%_mentions_engie,semaine,nombre_tweets_par_semaine,mois,nombre_tweets_par_mois,heure,nombre_tweets_par_heure
,,24,0,21.0,0.0,100.0,,,2024-09,24.0,,
,,39,3,32.0,7.5,97.5,,,2024-10,40.0,,
,,43,1,39.0,2.33,100.0,,,2024-11,43.0,,
,,44,3,33.0,6.82,100.0,,,2024-12,44.0,,
,,41,3,34.0,7.32,100.0,,,2025-01,41.0,,
,,37,1,31.0,2.7,100.0,,,2025-02,37.0,,
,,6,1,6.0,16.67,100.0,,,2025-03,6.0,,
,,4,0,,,,,,,,0.0,4.0
,,2,0,,,,,,,,1.0,2.0
,,1,0,,,,,,,,2.0,1.0
,,3,0,,,,,,,,3.0,3.0
,,1,0,,,,,,,,4.0,1.0
,,13,0,,,,,,,,5.0,13.0
,,17,0,,,,,,,,6.0,17.0
,,48,4,,,,,,,,7.0,48.0
,,46,4,,,,,,,,8.0,46.0
,,39,1,,,,,,,,9.0,39.0
,,52,4,,,,,,,,10.0,52.0
,,41,1,,,,,,,,11.0,41.0
,,40,0,,,,,,,,12.0,41.0
,,26,3,,,,,,,,13.0,26.0
,,43,3,,,,,,,,14.0,43.0
,,38,2,,,,,,,,15.0,38.0
,,28,0,,,,,,,,16.0,28.0
,,32,3,,,,,,,,17.0,32.0
,,23,1,,,,,,,,18.0,24.0
,,35,3,,,,,,,,19.0,36.0
,,16,1,,,,,,,,20.0,16.0
,,17,1,,,,,,,,21.0,17.0
,,5,0,,,,,,,,22.0,5.0
,,3,0,,,,,,,,23.0,3.0
